Firm,Account Name,Account Size,Profit Target,Max Drawdown,Drawdown Type (EOD or Intraday),Daily Loss Limit,Consistency Rule,Min Trading Days,Max Trading Days,Max Contracts,Payout Minimum,Min Days Between Payouts,Max Payout Per Request,Profit Split %,Funded Max Drawdown,Funded Drawdown Type,Funded Daily Loss Limit,Funded Consistency Rule,Fees,Notes
Tradeify,Select Evaluation,50000,2500,2000,EOD,Unknown,40%,3,Unknown,4,Unknown,5,Unknown,90,2000,EOD,Unknown,35% payout cycle,159,No activation fee; funded traders can choose daily or 5 winning day payout cadence
Tradeify,Select Evaluation,100000,6000,3000,EOD,Unknown,40%,3,Unknown,8,Unknown,5,Unknown,90,3000,EOD,Unknown,35% payout cycle,259,No activation fee; funded traders can choose daily or 5 winning day payout cadence
Tradeify,Select Evaluation,150000,9000,4500,EOD,Unknown,40%,3,Unknown,12,Unknown,5,Unknown,90,4500,EOD,Unknown,35% payout cycle,359,No activation fee; funded traders can choose daily or 5 winning day payout cadence
Tradeify,Growth Evaluation,50000,3000,2000,EOD,1250,none,1,Unknown,Unknown,Unknown,Unknown,Unknown,90,2000,EOD,Unknown,Unknown,139,Soft-breach daily loss limit in evaluation; no activation fee
Tradeify,Growth Evaluation,100000,6000,3500,EOD,2500,none,1,Unknown,Unknown,Unknown,Unknown,Unknown,90,3500,EOD,Unknown,Unknown,249,Soft-breach daily loss limit in evaluation; no activation fee
Tradeify,Growth Evaluation,150000,9000,5000,EOD,3750,none,1,Unknown,Unknown,Unknown,Unknown,Unknown,90,5000,EOD,Unknown,Unknown,359,Soft-breach daily loss limit in evaluation; no activation fee
FundedNext Futures,Rapid Challenge,25000,Unknown,1000,EOD,Unknown,none,Unknown,Unknown,2 minis / 10 micros,250,3,Unknown,Unknown,1000,EOD,Unknown,Unknown,Unknown,Rapid funded payouts every 3 days; funded contract limit 3 minis / 15 micros
FundedNext Futures,Rapid Challenge,50000,3000,2000,EOD,Unknown,none,Unknown,Unknown,3 minis / 15 micros,250,3,Unknown,Unknown,2000,EOD,Unknown,Unknown,Unknown,Rapid funded payouts every 3 days; funded contract limit 5 minis / 25 micros
FundedNext Futures,Rapid Challenge,100000,Unknown,4000,EOD,Unknown,none,Unknown,Unknown,5 minis / 25 micros,250,3,Unknown,Unknown,4000,EOD,Unknown,Unknown,Unknown,Rapid funded payouts every 3 days; funded contract limit 7 minis / 35 micros
FundedNext Futures,Legacy Challenge,25000,Unknown,1000,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,250,5,Unknown,Unknown,1000,EOD,Unknown,Unknown,Unknown,Legacy funded payouts every 5 days with 5 benchmark days and 500 profit per cycle
FundedNext Futures,Legacy Challenge,50000,3000,2000,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,250,5,Unknown,Unknown,2000,EOD,Unknown,Unknown,Unknown,Legacy funded payouts every 5 days with 5 benchmark days and 500 profit per cycle
FundedNext Futures,Legacy Challenge,100000,Unknown,4000,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,250,5,Unknown,Unknown,4000,EOD,Unknown,Unknown,Unknown,Legacy funded payouts every 5 days with 5 benchmark days and 500 profit per cycle
FundedNext Futures,Bolt Challenge,50000,3000,2000,EOD,1000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,EOD,Unknown,Unknown,99.99,Soft-breach daily loss limit resets daily; max loss limit capped at 50100
Topstep,Trading Combine,50000,3000,2000,EOD,1000,50% best day,Unknown,Unknown,Unknown,125,5,5000,90,2000,EOD,1000,40% for Express Funded payouts,49 + 149 activation,Trading Combine params; funded stage modeled as Express Funded Account
Topstep,Trading Combine,100000,6000,3000,EOD,2000,50% best day,Unknown,Unknown,Unknown,125,5,5000,90,3000,EOD,2000,40% for Express Funded payouts,99 + 149 activation,Trading Combine params; funded stage modeled as Express Funded Account
Topstep,Trading Combine,150000,9000,4500,EOD,3000,50% best day,Unknown,Unknown,Unknown,125,5,5000,90,4500,EOD,3000,40% for Express Funded payouts,149 + 149 activation,Trading Combine params; funded stage modeled as Express Funded Account
TradeDay,Intraday Evaluation,50000,3000,2000,Intraday,Unknown,30%,5,Unknown,5,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,87,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Intraday Evaluation,100000,6000,3000,Intraday,Unknown,30%,5,Unknown,10,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,140,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Intraday Evaluation,150000,9000,4000,Intraday,Unknown,30%,5,Unknown,15,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,210,No activation fee; funded accounts advertise day 1 payouts
TradeDay,EOD Evaluation,50000,3000,2000,EOD,Unknown,30%,5,Unknown,5,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,122,No activation fee; funded accounts advertise day 1 payouts
TradeDay,EOD Evaluation,100000,6000,3000,EOD,Unknown,30%,5,Unknown,10,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,192,No activation fee; funded accounts advertise day 1 payouts
TradeDay,EOD Evaluation,150000,9000,4000,EOD,Unknown,30%,5,Unknown,15,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,262,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Static Evaluation,50000,1500,500,Intraday,Unknown,30%,5,Unknown,1,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,115,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Static Evaluation,100000,2500,750,Intraday,Unknown,30%,5,Unknown,2,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,175,No activation fee; funded accounts advertise day 1 payouts
TradeDay,Static Evaluation,150000,3750,1000,Intraday,Unknown,30%,5,Unknown,3,Unknown,1,Unknown,80 to 95,Unknown,Unknown,Unknown,none,245,No activation fee; funded accounts advertise day 1 payouts
Take Profit Trader,Evaluation,25000,1500,1500,EOD,none,50%,5,Unknown,3 minis / 30 micros,250,1,none,80,1500,EOD,none,none,150,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Take Profit Trader,Evaluation,50000,3000,2000,EOD,none,50%,5,Unknown,6 minis / 60 micros,250,1,none,80,2000,EOD,none,none,170,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Take Profit Trader,Evaluation,75000,4500,2500,EOD,none,50%,5,Unknown,9 minis / 90 micros,250,1,none,80,2500,EOD,none,none,245,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Take Profit Trader,Evaluation,100000,6000,3000,EOD,none,50%,5,Unknown,12 minis / 120 micros,250,1,none,80,3000,EOD,none,none,330,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Take Profit Trader,Evaluation,150000,9000,4500,EOD,none,50%,5,Unknown,15 minis / 150 micros,250,1,none,80,4500,EOD,none,none,360,No activation fee; day 1 payouts above buffer in PRO account; PRO+ uses 90/10
Lucid Trading,LucidTest,25000,1500,1500,EOD,300,40%,5,none,Unknown,500,5,Unknown,100 then 90,1500,EOD,300,35% payout cycle,110,First 10000 in payouts at 100%; then 90/10
Lucid Trading,LucidTest,50000,3000,2000,EOD,600,40%,5,none,Unknown,500,5,Unknown,100 then 90,2000,EOD,600,35% payout cycle,135,First 10000 in payouts at 100%; then 90/10
Lucid Trading,LucidTest,100000,6000,3000,EOD,1200,40%,5,none,Unknown,500,5,Unknown,100 then 90,3000,EOD,1200,35% payout cycle,Unknown,First 10000 in payouts at 100%; then 90/10
Lucid Trading,LucidDirect,25000,Unknown,Unknown,EOD,Unknown,Unknown,0,none,Unknown,500,8,Unknown,100 then 90,Unknown,EOD,Unknown,20% payout cycle,Unknown,Instant funded; no evaluation; no activation fee
Lucid Trading,LucidDirect,50000,Unknown,Unknown,EOD,Unknown,Unknown,0,none,Unknown,500,8,Unknown,100 then 90,Unknown,EOD,Unknown,20% payout cycle,Unknown,Instant funded; no evaluation; no activation fee
Lucid Trading,LucidDirect,100000,Unknown,Unknown,EOD,Unknown,Unknown,0,none,Unknown,500,8,Unknown,100 then 90,Unknown,EOD,Unknown,20% payout cycle,Unknown,Instant funded; no evaluation; no activation fee
My Funded Futures,Rapid Plan,50000,3000,2000,EOD,none,50%,Unknown,none,Unknown,Unknown,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
My Funded Futures,Rapid Plan,100000,6000,3000,EOD,none,50%,Unknown,none,Unknown,Unknown,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
My Funded Futures,Rapid Plan,150000,9000,4500,EOD,none,50%,Unknown,none,Unknown,Unknown,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
My Funded Futures,Flex Plan,50000,3000,2000,EOD,none,50%,Unknown,none,Unknown,Unknown,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
My Funded Futures,Flex Plan,100000,6000,3000,EOD,none,50%,Unknown,none,Unknown,Unknown,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
My Funded Futures,Flex Plan,150000,9000,4500,EOD,none,50%,Unknown,none,Unknown,Unknown,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
My Funded Futures,Pro Plan,50000,3000,2000,EOD,none,50%,Unknown,none,Unknown,1000,14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
My Funded Futures,Pro Plan,100000,6000,3000,EOD,none,50%,Unknown,none,Unknown,1000,14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
My Funded Futures,Pro Plan,150000,9000,4500,EOD,none,50%,Unknown,none,Unknown,1000,14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current simplified evaluation framework; plan differences mainly affect payout path and scaling
Alpha Futures,Standard Plan,50000,3000,2000,EOD,1000,50%,Unknown,Unknown,5 contracts / 50 micros,200,14,15000,70 then 80 then 90,2000,EOD,1000,40%,79 + 149 activation,Qualified stage uses 40% consistency; max 3 qualified accounts
Alpha Futures,Standard Plan,100000,6000,4000,EOD,2000,50%,Unknown,Unknown,10 contracts / 100 micros,200,14,15000,70 then 80 then 90,4000,EOD,2000,40%,159 + 149 activation,Qualified stage uses 40% consistency; max 3 qualified accounts
Alpha Futures,Standard Plan,150000,9000,6000,EOD,3000,50%,Unknown,Unknown,15 contracts / 150 micros,200,14,15000,70 then 80 then 90,6000,EOD,3000,40%,239 + 149 activation,Qualified stage uses 40% consistency; max 3 qualified accounts
Alpha Futures,Advanced Plan,50000,4000,2000,EOD,none,none,Unknown,Unknown,5 contracts / 50 micros,1000,14,15000,90,2000,EOD,none,none,139 + 149 activation,No scaling plan or news restriction on advanced qualified accounts
Alpha Futures,Advanced Plan,100000,8000,4000,EOD,none,none,Unknown,Unknown,10 contracts / 100 micros,1000,14,15000,90,4000,EOD,none,none,279 + 149 activation,No scaling plan or news restriction on advanced qualified accounts
Alpha Futures,Advanced Plan,150000,12000,6000,EOD,none,none,Unknown,Unknown,15 contracts / 150 micros,1000,14,15000,90,6000,EOD,none,none,419 + 149 activation,No scaling plan or news restriction on advanced qualified accounts
Alpha Futures,Zero Account,25000,1500,1000,EOD,500,50%,Unknown,Unknown,3 contracts / 30 micros,200,5,1000,90,1000,EOD,500,40%,Unknown,0 activation fee; weekly payout after 5 winning days of 200 or more
Alpha Futures,Zero Account,50000,3000,2000,EOD,1000,50%,Unknown,Unknown,3 contracts / 30 micros,200,5,1500,90,2000,EOD,1000,40%,Unknown,0 activation fee; weekly payout after 5 winning days of 200 or more
Alpha Futures,Zero Account,100000,6000,4000,EOD,2000,50%,Unknown,Unknown,5 contracts / 50 micros,200,5,2500,90,4000,EOD,2000,40%,Unknown,0 activation fee; weekly payout after 5 winning days of 200 or more
Blue Guardian Futures,Standard Tier,25000,Unknown,Unknown,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,750,100 then 90,Unknown,EOD,Unknown,Unknown,63,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Standard Tier,50000,Unknown,Unknown,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1350,100 then 90,Unknown,EOD,Unknown,Unknown,160,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Standard Tier,100000,Unknown,Unknown,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2750,100 then 90,Unknown,EOD,Unknown,Unknown,240,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Standard Tier,150000,Unknown,Unknown,EOD,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4000,100 then 90,Unknown,EOD,Unknown,Unknown,340,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Guardian Tier,25000,Unknown,Unknown,EOD,none,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,750,100 then 90,Unknown,EOD,none,Unknown,48,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Guardian Tier,50000,Unknown,Unknown,EOD,none,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1350,100 then 90,Unknown,EOD,none,Unknown,119,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Guardian Tier,100000,Unknown,Unknown,EOD,none,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2750,100 then 90,Unknown,EOD,none,Unknown,169,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Guardian Tier,150000,Unknown,Unknown,EOD,none,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4000,100 then 90,Unknown,EOD,none,Unknown,269,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Instant Tier,25000,Unknown,Unknown,EOD,2% daily loss limit,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,750,100 then 90,Unknown,EOD,2% daily loss limit,Unknown,395,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Instant Tier,50000,Unknown,Unknown,EOD,2% daily loss limit,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1350,100 then 90,Unknown,EOD,2% daily loss limit,Unknown,625,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Instant Tier,100000,Unknown,Unknown,EOD,2% daily loss limit,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2750,100 then 90,Unknown,EOD,2% daily loss limit,Unknown,825,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Blue Guardian Futures,Instant Tier,150000,Unknown,Unknown,EOD,2% daily loss limit,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4000,100 then 90,Unknown,EOD,2% daily loss limit,Unknown,995,100% on first 15000 then 90/10; payout caps apply first 60 days; payout targets reset 7% then 4% then 3%
Top One Futures,Challenge,25000,1500,1000,EOD,none,45%,3,Unknown,1 mini / 10 micros,Unknown,1,Unknown,90,1000,EOD,none,none,Unknown,Progressive payout targets 6% then 5% then 4%; no activation fee
Top One Futures,Challenge,50000,3000,2000,EOD,none,45%,3,Unknown,4 minis / 40 micros,Unknown,1,Unknown,90,2000,EOD,none,none,Unknown,Progressive payout targets 6% then 5% then 4%; no activation fee
Top One Futures,Challenge,100000,6000,4000,EOD,none,45%,3,Unknown,8 minis / 80 micros,Unknown,1,Unknown,90,4000,EOD,none,none,Unknown,Progressive payout targets 6% then 5% then 4%; no activation fee
Top One Futures,Challenge,150000,9000,6000,EOD,none,45%,3,Unknown,12 minis / 120 micros,Unknown,1,Unknown,90,6000,EOD,none,none,Unknown,Progressive payout targets 6% then 5% then 4%; no activation fee
Top One Futures,Elite Daily,25000,625,1000,EOD,625,20%,3,Unknown,1 mini / 10 micros,Unknown,1,Unknown,90,1000,EOD,625,20%,Unknown,Instant sim-funded style
Top One Futures,Elite Daily,50000,1250,2000,EOD,1250,20%,3,Unknown,4 minis / 40 micros,Unknown,1,Unknown,90,2000,EOD,1250,20%,Unknown,Instant sim-funded style
Top One Futures,Elite Daily,100000,2500,4000,EOD,2500,20%,3,Unknown,8 minis / 80 micros,Unknown,1,Unknown,90,4000,EOD,2500,20%,Unknown,Instant sim-funded style
Top One Futures,Elite Daily,150000,3750,6000,EOD,3750,20%,3,Unknown,12 minis / 120 micros,Unknown,1,Unknown,90,6000,EOD,3750,20%,Unknown,Instant sim-funded style
Top One Futures,S2F PRO,25000,500,1000,Intraday,500,20%,3,Unknown,1 mini / 10 micros,Unknown,1,Unknown,90,1000,Intraday,500,20%,Unknown,Sim-to-funded pro
Top One Futures,S2F PRO,50000,1000,1625,Intraday,1000,20%,3,Unknown,4 minis / 40 micros,Unknown,1,Unknown,90,1625,Intraday,1000,20%,Unknown,Sim-to-funded pro
Top One Futures,S2F PRO,100000,2000,3250,Intraday,2000,20%,3,Unknown,8 minis / 80 micros,Unknown,1,Unknown,90,3250,Intraday,2000,20%,Unknown,Sim-to-funded pro
Top One Futures,S2F PRO,150000,3000,5000,Intraday,3000,20%,3,Unknown,12 minis / 120 micros,Unknown,1,Unknown,90,5000,Intraday,3000,20%,Unknown,Sim-to-funded pro
Funded Futures Family,Classic Evaluation,50000,3000,1500,EOD,none,50%,1,Unknown,5 minis / 50 micros,Unknown,Unknown,Unknown,100 then 90,1500,EOD,Unknown,40% to 50% staged,135,Activation fee 0; funded accounts use staged consistency caps
Funded Futures Family,Classic Evaluation,100000,6000,2500,EOD,none,50%,1,Unknown,10 minis / 100 micros,Unknown,Unknown,Unknown,100 then 90,2500,EOD,Unknown,40% to 50% staged,244,Activation fee 0; funded accounts use staged consistency caps
Funded Futures Family,Classic Evaluation,150000,9000,4000,EOD,none,50%,1,Unknown,15 minis / 150 micros,Unknown,Unknown,Unknown,100 then 90,4000,EOD,Unknown,40% to 50% staged,334,Activation fee 0; funded accounts use staged consistency caps
Funded Futures Family,Elite Evaluation,50000,3000,2000,Intraday,none,none,1,Unknown,5 minis / 50 micros,Unknown,Unknown,Unknown,100 then 90,2000,EOD,Unknown,40% to 50% staged,64 + 100 activation,Intraday trailing eval; funded stage EOD drawdown
Funded Futures Family,Elite Evaluation,100000,6000,3000,Intraday,none,none,1,Unknown,10 minis / 100 micros,Unknown,Unknown,Unknown,100 then 90,3000,EOD,Unknown,40% to 50% staged,104 + 115 activation,Intraday trailing eval; funded stage EOD drawdown
Funded Futures Family,Elite Evaluation,150000,9000,4500,Intraday,none,none,1,Unknown,15 minis / 150 micros,Unknown,Unknown,Unknown,100 then 90,4500,EOD,Unknown,40% to 50% staged,124 + 125 activation,Intraday trailing eval; funded stage EOD drawdown
Legends Trading,Apprentice,25000,1500,1250,EOD,none,30%,4,Unknown,2 minis / 20 micros,Unknown,Unknown,Unknown,90,1250,EOD,none,40%,64.35 + 149 activation,Monthly plan
Legends Trading,Apprentice,50000,3000,2000,EOD,none,30%,4,Unknown,4 minis / 40 micros,Unknown,Unknown,Unknown,90,2000,EOD,none,40%,96.85 + 149 activation,Monthly plan
Legends Trading,Apprentice,100000,6000,3000,EOD,none,30%,4,Unknown,14 contracts / 70 micros,Unknown,Unknown,Unknown,90,3000,EOD,none,40%,45 + 149 activation,Monthly plan
Legends Trading,Apprentice,150000,9000,4000,EOD,none,30%,4,Unknown,17 contracts / 85 micros,Unknown,Unknown,Unknown,90,4000,EOD,none,40%,64 + 199 activation,Monthly plan
Legends Trading,Elite,25000,1500,1250,EOD,none,40%,4,Unknown,2 minis / 20 micros,Unknown,Unknown,Unknown,90,1250,EOD,none,40%,64.35,One-time plan; no activation fee
Legends Trading,Elite,50000,2700,2200,EOD,none,40%,4,Unknown,4 minis / 40 micros,Unknown,Unknown,Unknown,90,2200,EOD,none,40%,96.85,One-time plan; no activation fee
Legends Trading,Elite,100000,6000,3000,EOD,none,40%,4,Unknown,8 minis / 80 micros,Unknown,Unknown,Unknown,90,3000,EOD,none,40%,117,One-time plan; no activation fee
Legends Trading,Elite,150000,9000,4500,EOD,none,40%,4,Unknown,12 minis / 120 micros,Unknown,Unknown,Unknown,90,4500,EOD,none,40%,149.5,One-time plan; no activation fee
